Product_Name,Product_Link
Tops,https://www.macys.com/shop/womens-clothing/womens-tops?id=255
Swimwear,https://www.macys.com/shop/womens-clothing/womens-swimwear?id=8699
Sweaters,https://www.macys.com/shop/womens-clothing/womens-sweaters?id=260
Suits & Suit Separates,https://www.macys.com/shop/womens-clothing/womens-suits?id=67592
Skirts,https://www.macys.com/shop/womens-clothing/womens-skirts?id=131
Shorts,https://www.macys.com/shop/womens-clothing/womens-shorts?id=5344
Pants & Capris,https://www.macys.com/shop/womens-clothing/womens-pants?id=157
Jumpsuits & Rompers,https://www.macys.com/shop/womens-clothing/womens-jumpsuits-rompers?id=50684
Jeans,https://www.macys.com/shop/womens-clothing/womens-jeans?id=3111
Jackets,https://www.macys.com/shop/womens-clothing/womens-jackets?id=120
Coats,https://www.macys.com/shop/womens-clothing/womens-coats?id=269
Wear To Work,https://www.macys.com/shop/womens-clothing/womens-business-attire?id=39096
Blazers,https://www.macys.com/shop/womens-clothing/womens-blazers?id=55429
"Pajamas, Robes & Loungewear",https://www.macys.com/shop/womens-clothing/pajamas-and-robes?id=59737
Maternity,https://www.macys.com/shop/womens-clothing/maternity-clothes?id=66718
"Bras, Panties & Lingerie",https://www.macys.com/shop/womens-clothing/lingerie?id=225
Leggings,https://www.macys.com/shop/womens-clothing/leggings?id=46905
Dresses,https://www.macys.com/shop/womens-clothing/dresses?id=5449
Designer Clothing,https://www.macys.com/shop/womens-clothing/designer-clothing?id=85842
Basics,https://www.macys.com/shop/womens-clothing/basic-clothing?id=135942
"Tights, Socks & Hosiery",https://www.macys.com/shop/handbags-accessories/socks-tights?id=40546
Vests,https://www.macys.com/shop/mens-clothing/mens-vests?id=43154
Underwear & Undershirts,https://www.macys.com/shop/mens-clothing/mens-underwear?id=57
T-Shirts,https://www.macys.com/shop/mens-clothing/mens-t-shirts?id=30423
Swimwear,https://www.macys.com/shop/mens-clothing/mens-swimwear?id=3291
Sweaters,https://www.macys.com/shop/mens-clothing/mens-sweaters?id=4286
Suits & Tuxedos,https://www.macys.com/shop/mens-clothing/mens-suits?id=17788
Socks,https://www.macys.com/shop/mens-clothing/mens-socks?id=18245
Shorts,https://www.macys.com/shop/mens-clothing/mens-shorts?id=3310
Shirts,https://www.macys.com/shop/mens-clothing/mens-shirts?id=20626
Polos,https://www.macys.com/shop/mens-clothing/mens-polo-shirts?id=20640
Pants,https://www.macys.com/shop/mens-clothing/mens-pants?id=89
"Pajamas, Lounge & Sleepwear",https://www.macys.com/shop/mens-clothing/mens-pajamas?id=16295
Jeans,https://www.macys.com/shop/mens-clothing/mens-jeans?id=11221
Coats & Jackets,https://www.macys.com/shop/mens-clothing/mens-jackets-coats?id=3763
Dress Shirts,https://www.macys.com/shop/mens-clothing/mens-dress-shirts?id=20635
Casual Button-Down Shirts,https://www.macys.com/shop/mens-clothing/mens-casual-shirts?id=20627
Blazers & Sport Coats,https://www.macys.com/shop/mens-clothing/mens-blazers-sports-coats?id=16499
Hoodies & Sweatshirts,https://www.macys.com/shop/mens-clothing/hoodies-for-men?id=25995
Wear To Work,https://www.macys.com/shop/mens-clothing/business-casual?id=75897
Big & Tall,https://www.macys.com/shop/mens-clothing/big-and-tall?id=45758
Black Friday Deals,https://www.macys.com/p/black-friday/
Black Friday Womens Deals,https://www.macys.com/shop/b/womens-black-friday-deals?id=151142
Black Friday Mens Deals,https://www.macys.com/shop/b/mens-black-friday-deals?id=151143
Black Friday Kitchen & dining Deals,https://www.macys.com/shop/b/kitchen-dining-black-friday-deals?id=151152
Black Friday Kids Deals,https://www.macys.com/shop/b/kids-black-friday-deals?id=151144
Black Friday Home Deals,https://www.macys.com/shop/b/home-black-friday-deals?id=151151
